"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.608978542E0,-1.764503669E-1,1.322897458E-1,-1.286882703E0,1.305642524E0
1.618937542E0,-4.504541449E-2,5.060706675E-2,-8.876722401E-1,8.902539921E-1
1.628896542E0,-1.875143588E-2,1.885083854E-2,-5.076909310E-1,5.083867149E-1
1.638855542E0,1.016377643E-2,-4.135297090E-2,-1.725115728E-1,1.776896545E-1
1.648813542E0,-3.006627325E-2,-1.172790661E-1,3.026928127E-2,1.247981952E-1
1.658772542E0,-2.021720493E-1,-2.193220425E-1,1.369575781E-1,3.282271683E-1
1.668731542E0,-3.365452312E-1,-2.687681445E-1,9.058915794E-2,4.401197606E-1
1.678690542E0,-4.037674901E-1,-2.871234316E-1,-2.060207963E-2,4.958754851E-1
1.688648542E0,-4.079516480E-1,-2.090622255E-1,-1.563668257E-1,4.843368099E-1
1.698607542E0,-3.333313091E-1,-1.261758971E-1,-2.700314355E-1,4.471544417E-1
1.708566542E0,-2.654488264E-1,-6.475966752E-2,-2.741934836E-1,3.870903776E-1
1.718525542E0,-1.438942031E-1,4.371115297E-2,-1.431427628E-1,2.076199824E-1
1.728484542E0,-4.552040940E-1,1.994456023E-1,4.976506770E-2,4.994655919E-1
1.738442542E0,-2.657820446E-1,4.243084663E-1,-2.062722266E-1,5.415034638E-1
1.748401542E0,-4.033891752E-2,6.114231679E-1,-2.606922626E-2,6.133067121E-1
1.758360542E0,3.117600169E-1,5.340183118E-1,-5.385437644E-1,8.199995437E-1
1.768319542E0,8.452322719E-1,3.554019535E-1,-7.470794481E-1,1.182732364E0
1.778277542E0,9.818379937E-1,5.030956042E-1,-1.060399575E0,1.530215113E0
1.788236542E0,1.203126455E0,5.474286085E-1,-1.177432766E0,1.770180574E0
1.798195542E0,1.127404354E0,6.801291212E-1,-1.013852815E0,1.661780289E0
1.808154542E0,7.984973775E-1,7.027914673E-1,-8.437210590E-1,1.357710990E0
1.818112542E0,6.581232713E-1,5.924635711E-1,-6.087746716E-1,1.074591050E0
1.828071542E0,3.360986135E-1,5.853922409E-1,-2.234952003E-1,7.110530629E-1
1.838030542E0,2.962205297E-1,4.982432923E-1,-3.615625799E-2,5.807755638E-1
1.847989542E0,3.651673883E-2,2.523710901E-1,7.856318951E-2,2.668273113E-1
1.857947542E0,-3.415715343E-1,6.187523603E-2,-7.710138559E-3,3.472162210E-1
1.867906542E0,-5.355085478E-1,6.321863383E-2,5.575495541E-2,5.421020342E-1
1.877865542E0,-5.713694483E-1,-1.208765656E-2,8.289422214E-2,5.774778004E-1
1.887824542E0,-4.876300842E-1,-3.856004834E-2,4.006336749E-2,4.907902299E-1
1.897782542E0,-4.471198798E-1,-3.392934591E-2,5.228638709E-2,4.514435222E-1
1.907741542E0,-3.220833127E-1,5.030125737E-2,2.160136878E-1,3.910623865E-1
1.917700542E0,-1.435010875E-1,1.845887044E-1,5.660356182E-1,6.124229527E-1
1.927659542E0,1.286098737E-1,2.014178681E-1,7.268983680E-1,7.651737676E-1
1.937617542E0,3.356212980E-1,2.295169553E-1,8.468539971E-1,9.394048014E-1
1.947576542E0,4.872976335E-1,2.462066630E-1,1.030103981E0,1.165843436E0
1.957535542E0,6.294053295E-1,1.797682598E-1,1.321210536E0,1.474471084E0
1.967494542E0,6.436446883E-1,7.341559321E-2,1.707001639E0,1.825793781E0
1.977452542E0,4.857364634E-1,-1.009346366E-2,2.001027709E0,2.059163345E0
1.987411542E0,2.171591209E-1,-1.048525634E-1,2.007616936E0,2.022047948E0
1.997370542E0,-4.369532894E-2,-1.913659197E-1,1.865417329E0,1.875716399E0
2.007329542E0,-1.352724836E-1,-2.256490222E-1,1.627773036E0,1.648896960E0
2.017287542E0,-2.223111391E-3,-1.702943087E-1,1.260110641E0,1.271567506E0
2.027246542E0,3.208173905E-1,-4.900200605E-2,9.103231841E-1,9.664436322E-1
2.037205542E0,7.084229207E-1,3.212635696E-2,7.677294749E-1,1.045133333E0
2.047164542E0,8.571785720E-1,1.453892630E-1,1.004608367E0,1.328582370E0
2.057122542E0,7.527487622E-1,1.696090150E-1,1.418109425E0,1.614444876E0
2.067081542E0,5.994383858E-1,4.605939478E-2,1.734895781E0,1.836113073E0
2.077040542E0,4.154153264E-1,-2.293234125E-1,1.953724319E0,2.010521782E0
2.086999542E0,1.836819840E-1,-5.371644062E-1,1.969801823E0,2.049976559E0
2.096957542E0,1.901974998E-2,-7.502916160E-1,1.710076105E0,1.867527656E0
2.106916542E0,-3.002822980E-2,-8.957925609E-1,1.270192995E0,1.554585556E0
2.116875542E0,-7.236009769E-2,-9.163411385E-1,6.218560624E-1,1.109784676E0
2.126834542E0,-1.712528135E-1,-8.393379861E-1,-1.401390481E-1,8.680177037E-1
2.136792542E0,-2.621649570E-1,-6.438336995E-1,-7.452714890E-1,1.019157441E0
2.146751542E0,-2.140439802E-1,-5.413404876E-1,-1.168535058E0,1.305503171E0
2.156710542E0,-3.907036409E-3,-5.309491083E-1,-1.425896162E0,1.521545952E0
2.166669542E0,2.049070479E-1,-3.430789465E-1,-1.247508137E0,1.309949088E0
2.176628542E0,5.528000070E-1,-3.043934754E-1,-1.079867880E0,1.250742929E0
2.186586542E0,8.985189714E-1,-3.417577681E-1,-1.012241907E0,1.395982948E0
2.196545542E0,1.123112571E0,-3.316338989E-1,-9.268971169E-1,1.493486242E0
2.206504542E0,1.312814812E0,-2.697528157E-1,-8.386345661E-1,1.580998813E0
2.216462542E0,1.448960650E0,-2.446551043E-1,-9.475991839E-1,1.748510023E0
2.226421542E0,1.465085371E0,-3.064777154E-1,-1.213580253E0,1.926961537E0
2.236379167E0,1.352179437E0,-3.774184746E-1,-1.509597300E0,2.061484403E0
2.246338167E0,1.107520020E0,-4.228185958E-1,-1.716051375E0,2.085715340E0
2.256296167E0,8.950317650E-1,-4.568151847E-1,-1.820608946E0,2.079514104E0
2.266255167E0,7.393921137E-1,-4.563678727E-1,-1.877495338E0,2.068806679E0
2.276214167E0,6.748271585E-1,-4.555954555E-1,-1.929240273E0,2.094021715E0
2.286173167E0,6.315513307E-1,-3.874549279E-1,-1.944893854E0,2.081247344E0
2.296132167E0,5.859293076E-1,-3.126260626E-1,-1.875829466E0,1.989920700E0
2.306090167E0,4.937849365E-1,-2.880078229E-1,-1.716695153E0,1.809368486E0
2.316049167E0,3.839667714E-1,-1.961694074E-1,-1.604843180E0,1.661756466E0
