"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.295436358E1,6.250130363E1,2.543411892E1,1.820436636E2,2.016932518E2,1.405624808E0,6.136274719E1,8.406486834E-2,4.748651515E0,3.889798226E0,-1.000000000E0
5.395437038E1,6.250129972E1,2.543415127E1,1.818183444E2,2.014679327E2,1.525682775E0,6.136274719E1,8.526541779E-2,4.748651519E0,3.789285332E0,-1.000000000E0
5.495437682E1,6.250129971E1,2.543417466E1,1.819186341E2,2.015682200E2,1.495164982E0,6.136274719E1,8.685511119E-2,4.748651514E0,3.628941458E0,-1.000000000E0
5.595438290E1,6.250129684E1,2.543420499E1,1.822807958E2,2.019303811E2,1.539813192E0,9.213283624E1,8.815133215E-2,4.748651496E0,3.842765415E0,-1.000000000E0
5.695438778E1,6.250129847E1,2.543422998E1,1.823164850E2,2.019660663E2,1.486177935E0,8.865813913E1,8.961340792E-2,4.748651515E0,5.585018326E0,-1.000000000E0
5.795439374E1,6.250129538E1,2.543425766E1,1.818694643E2,2.015190455E2,1.424837165E0,9.376005680E1,9.129917352E-2,4.748651518E0,5.991763641E0,-1.000000000E0
5.895440042E1,6.250129899E1,2.543428955E1,1.818420382E2,2.014916130E2,1.488214690E0,8.384093785E1,9.281116753E-2,4.748651514E0,5.548817504E0,-1.000000000E0
5.995440519E1,6.250130206E1,2.543431824E1,1.815752415E2,2.012248107E2,1.476526562E0,8.030046505E1,9.428605133E-2,4.748651499E0,6.265174108E0,-1.000000000E0
6.095441055E1,6.250129788E1,2.543434551E1,1.810919761E2,2.007415462E2,1.469447157E0,9.098858643E1,9.573341395E-2,4.748651489E0,6.338496259E0,-1.000000000E0
6.195441616E1,6.250130078E1,2.543437299E1,1.807962629E2,2.004458276E2,1.460850623E0,9.098858643E1,9.704983247E-2,4.748651502E0,6.154129388E0,-1.000000000E0
6.295442152E1,6.250130389E1,2.543439773E1,1.806112811E2,2.002608406E2,1.395759743E0,7.211676025E1,9.817818808E-2,4.748651503E0,6.111167765E0,-1.000000000E0
6.395442688E1,6.250130408E1,2.543441970E1,1.806937401E2,2.003432971E2,1.268214961E0,7.211676025E1,9.917004878E-2,4.748651519E0,5.629451177E0,-1.000000000E0
6.495443130E1,6.250130855E1,2.543443642E1,1.808726056E2,2.005221571E2,1.062778645E0,7.211676025E1,1.008889228E-1,4.748651509E0,5.121472719E0,-1.000000000E0
6.595443630E1,6.250131395E1,2.543446779E1,1.810868077E2,2.007363513E2,1.294272624E0,7.211676025E1,1.023501663E-1,4.748651505E0,5.487667986E0,-1.000000000E0
6.695444107E1,6.250131799E1,2.543449488E1,1.816409449E2,2.012904822E2,1.376494724E0,7.211676025E1,1.040923094E-1,4.748651515E0,6.040903042E0,-1.000000000E0
