"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.577758958E0,-1.451356401E-1,-1.990403903E-1,3.513942719E-1,4.291379327E-1
1.587716958E0,9.659161717E-3,-6.800779581E-2,4.176876640E-1,4.232981743E-1
1.597675958E0,1.081758285E-1,1.698048967E-1,5.438927972E-1,5.799612812E-1
1.607633958E0,-7.436912790E-2,-1.009270352E-1,6.131729472E-1,6.258578886E-1
1.617592958E0,-1.035125278E-1,-3.008211190E-1,9.541170752E-1,1.005757218E0
1.627550958E0,2.780495030E-1,-2.812370396E-1,1.353177849E0,1.409785831E0
1.637509958E0,3.663878484E-1,-3.182358813E-1,7.445224607E-1,8.887225811E-1
1.647467958E0,3.551869221E-1,-1.550979799E-1,4.455993479E-1,5.905691423E-1
1.657426958E0,3.617967609E-1,-1.019929826E-2,1.497226346E-1,3.916858297E-1
1.667384958E0,4.540728405E-1,4.090419710E-2,-2.052834624E-1,4.999965978E-1
1.677343958E0,4.838402845E-1,4.343311787E-2,-3.478900355E-1,5.975076012E-1
1.687301958E0,4.484322508E-1,5.541640162E-2,-2.244360173E-1,5.045136143E-1
1.697260958E0,3.846984408E-1,8.029981256E-3,1.476515508E-1,4.121387526E-1
1.707219958E0,2.323288813E-1,-1.332235461E-1,3.218588161E-1,4.187103054E-1
1.717177958E0,2.115570863E-1,-2.642842072E-1,3.468182409E-1,4.846498067E-1
1.727136958E0,3.178993010E-1,-2.737297994E-1,2.824807423E-1,5.057502728E-1
1.737094958E0,4.060072660E-1,-2.475190705E-1,1.123027933E-1,4.885893037E-1
1.747053958E0,4.068602286E-1,-2.106284022E-1,-2.424080193E-2,4.587888250E-1
1.757011958E0,2.368824553E-1,-1.734611607E-1,-1.179131967E-1,3.163946805E-1
1.766970958E0,2.166696724E-1,-2.786022842E-2,-1.519322973E-1,2.660927700E-1
1.776928958E0,2.770318500E-1,6.869542837E-2,-1.217021924E-1,3.102855643E-1
1.786887958E0,2.995373810E-1,8.305034280E-2,-4.251159668E-2,3.137311555E-1
1.796845958E0,2.475134243E-1,1.325622261E-1,1.053820288E-1,2.999016688E-1
1.806804958E0,8.977411089E-2,1.305414283E-1,3.325615597E-1,3.683716146E-1
1.816762958E0,1.866687052E-3,4.399328113E-2,3.648867220E-1,3.675339619E-1
1.826721958E0,-2.188115805E-2,-5.414580166E-2,2.133748394E-1,2.212224559E-1
1.836679958E0,-1.308758891E-1,-1.297900611E-1,7.879532397E-2,2.004561333E-1
1.846638958E0,-1.613382015E-1,-1.368909198E-1,7.666109025E-2,2.250467995E-1
1.856596958E0,-1.152583050E-1,-4.219760120E-2,-7.256686985E-2,1.425870436E-1
1.866555958E0,-2.993218929E-2,1.304689229E-1,-3.057392120E-2,1.373056461E-1
1.876514958E0,-3.950883217E-2,2.060161185E-1,1.633302748E-1,2.658577958E-1
1.886472958E0,-5.330818802E-2,2.128801650E-1,2.722393441E-1,3.496769767E-1
1.896431958E0,-7.235717408E-2,1.882528621E-1,2.498854387E-1,3.211190327E-1
1.906389958E0,-1.711568461E-1,1.169922602E-1,2.365631425E-1,3.145536128E-1
1.916348958E0,-2.141147315E-1,7.561911643E-2,2.400486678E-1,3.304341567E-1
1.926306958E0,-2.230888919E-1,4.360210240E-2,1.920588148E-1,2.975842491E-1
1.936265958E0,-3.364751011E-1,-3.365131080E-2,1.423662525E-1,3.669006054E-1
1.946223958E0,-4.186240225E-1,-1.272120237E-1,2.407094032E-1,4.993695906E-1
1.956182958E0,-3.777950352E-1,-7.461573422E-2,3.307518464E-1,5.076350858E-1
1.966140958E0,-2.698104107E-1,-9.447931051E-3,4.221385646E-1,5.010867079E-1
1.976099958E0,-1.637563907E-1,-3.802093506E-2,5.251115406E-1,5.513654659E-1
1.986057958E0,-1.133340228E-1,-1.043499953E-1,7.265212226E-1,7.426753053E-1
1.996016958E0,-4.070488013E-2,-1.463347578E-1,7.708092034E-1,7.856319600E-1
2.005975958E0,3.046699025E-2,-1.949800837E-1,5.808530474E-1,6.134620878E-1
2.015933958E0,7.137805782E-2,-1.990859985E-1,3.283574116E-1,3.905747710E-1
2.025892958E0,2.799486056E-2,-1.644757444E-1,8.739833236E-2,1.883466251E-1
2.035850958E0,-5.987943515E-2,-1.109070629E-1,-3.039265752E-2,1.296519841E-1
2.045809958E0,-9.734196112E-2,-1.059299129E-1,4.950018883E-2,1.521409627E-1
2.055767958E0,-8.691973776E-2,-1.517101032E-1,1.925289309E-1,2.600738077E-1
2.065726958E0,-5.658409059E-2,-2.482488030E-1,2.643005794E-1,3.669932204E-1
